Number,VcsUrl,JobName,Repo,Link,Inspection_1,Subtype_1,Purpose,IS_CONFLICT?Purpose,2 Label,2 Remarks,3 remarks,Final Label,Final Label notes,Programming Purposes,Mechanism_1,Mechanism_2,IS_CONFLICT?Mechanism,,Programming Mechanisms,Impact (HALT/SKIP/MINIMIZE),magnitude,IS_CONFLICT_Magnitude,Final_magnitude,Programming Magnitude,Remark_1,Purpose_sub,Remark_2,VcsUrl,JobName,Repo,Link,Related statements,From original only,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
103,https://github.com/alchemy-fr/Phraseanet,build_phraseanet-worker,alchemy-fr/Phraseanet,build_phraseanet-worker,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,amazon docker cache?,docker build diff?,https://github.com/alchemy-fr/Phraseanet,build_phraseanet-worker,alchemy-fr/Phraseanet,build_phraseanet-worker,,,0.108091948,0.194997109,0.60627524,0.02811072,1833,9583352307529086022,1949,284,FALSE
232,https://github.com/AlexsLemonade/refinebio,common_smasher_tests,AlexsLemonade/refinebio,common_smasher_tests,#N/A,Filter slow tests,Skip init db if already init'ed,1,Skip init db if already init'ed,,,,,Skip init db if already init'ed,Checking git log message,Check with related command and bash scripts,1,Check with related command and bash scripts,Check with related command and bash scripts,MINIMIZE,Partial step,0,Partial step,Partial step,,,,,,,,,,0.184807567,0.179166199,0.271537209,0.113135306,3009,11157856651894211386,3199,312,FALSE
218,https://github.com/AlexsLemonade/refinebio,transcriptome_and_illumina_tests,AlexsLemonade/refinebio,transcriptome_and_illumina_tests,#N/A,Filter slow tests,Skip slow tests when specified,0,,,,,,Skip slow tests when specified,Checking git log message,Check keyword from git message,0,,Check keyword from git message,MINIMIZE,Partial step,0,,Partial step,,,,,,,,"if [[ $(git log --format=oneline -n 1 $CIRCLE_SHA1) = *""noslow""* ]];",,0.156803216,0.374204699,1.01771705,0.079042773,1110,6384994375398078658,1179,365,FALSE
5,https://github.com/all-of-us/workbench,api-bigquery-test,all-of-us/workbench,api-bigquery-test,no,Skip testing when files in specific directories are not changed,Skip if certain folder has not changed.,0,,,,,,Skip if certain folder has not changed.,Check branch name with environment variable; Use git diff to find changes in specific directories,"Use Circle CI env var.
Use git diff command.",0,,Check branch name with environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt if code in 'api' directories are not changed,https://github.com/all-of-us/workbench,api-bigquery-test,all-of-us/workbench,api-bigquery-test,,,0.188096497,0.390628806,0.780726689,0.137230189,8948,17917224806250997322,9518,891,TRUE
72,https://github.com/all-of-us/workbench,api-build-test,all-of-us/workbench,api-build-test,#N/A,Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,On non-master branch must have certain directory changed.,△,,,,Avoiding unnecessary build in dev branches when certain folders are not changed,,Avoiding unnecessary build in dev branches when certain folders are not changed,Check branch name with environment variable; Use git diff to find changes in specific directories,"Use git diff command.
Use Circle CI env var.",0,,Check branch name with environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt job and succeed early if no code changes in api directory on non-master branch,https://github.com/all-of-us/workbench,api-build-test,all-of-us/workbench,api-build-test,,,0.221350837,0.298877169,0.812006715,0.085263046,12394,12139634980796821306,13184,915,TRUE
32,https://github.com/all-of-us/workbench,api-integration-test,all-of-us/workbench,api-integration-test,#N/A,Skip testing when files in specific directories are not changed,Skip if certain folder has not changed.,0,,,,,,Skip if certain folder has not changed.,Check git diff to find changes,"Use Circle CI env var.
Use git diff command.",△,,Check git diff to find changes,HALT,Remaining steps,0,,Remaining steps,,,Halt if code in 'api' directories are not changed,https://github.com/all-of-us/workbench,api-integration-test,all-of-us/workbench,api-integration-test,,,0.580724483,0.615896811,1.005165439,0.311086082,9076,15242639129907208465,9654,899,TRUE
58,https://github.com/all-of-us/workbench,api-local-test,all-of-us/workbench,api-local-test,#N/A,Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,Skip if certain folder has not changed.,△,,,,,,Skip if certain folder has not changed.,Check branch name with environment variable; Use git diff to find changes in specific directories,"Use Circle CI env var.
Use git diff command.",△,,Check branch name with environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt if code in 'api' directories are not changed,https://github.com/all-of-us/workbench,api-local-test,all-of-us/workbench,api-local-test,,,0.730732213,0.693935641,0.963638784,0.243113174,16484,13225388487339501002,17535,948,TRUE
199,https://github.com/all-of-us/workbench,api-unit-test,all-of-us/workbench,api-unit-test,#N/A,Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,Skip if certain folder has not changed.,△,,,,,,Skip if certain folder has not changed.,Check branch name with environment variable; Use git diff to find changes in specific directories,"Use Circle CI env var.
Use git diff command.",△,,Check branch name with environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt if code in 'api' directories are not changed,https://github.com/all-of-us/workbench,api-unit-test,all-of-us/workbench,api-unit-test,,,0.213972394,0.227769839,0.304908319,0.179349439,2675,324861752434769535,2845,519,TRUE
155,https://github.com/all-of-us/workbench,puppeteer-e2e-local-ui,all-of-us/workbench,puppeteer-e2e-local-ui,#N/A,Skip testing when this build is triggered by PR; Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,Skip if commit message contains certain keyword,△,,,,,,Skip testing when only documents are modified; Use external sccache,Check PR_number using environment variable; Use git diff and regular expressions to find changes in spefici file types,Use git log command.,△,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; Use git diff and regular expressions to find changes in spefici file types,HALT,Remaining steps,0,,Remaining steps,,,Halt job if commit message contains 'SKIP E2E',https://github.com/all-of-us/workbench,puppeteer-e2e-local-ui,all-of-us/workbench,puppeteer-e2e-local-ui,,,0.336384068,0.274422768,0.35887204,0.170186471,1060,4733291184643218574,1127,322,TRUE
197,https://github.com/all-of-us/workbench,ui-build-test,all-of-us/workbench,ui-build-test,#N/A,Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,On non-master branch must have certain directory changed.,△,,,,,,Avoiding unnecessary build in dev branches when certain folders are not changed,Check branch name using environment variable; Use git diff to find changes in specific directories,"Use Circle CI env var.
Use git diff command.",△,,Check branch name using environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt job and succeed early if no code changes in ui directory on non-master branch,https://github.com/all-of-us/workbench,ui-build-test,all-of-us/workbench,ui-build-test,,,0.768266022,0.740188568,1.052237287,0.137550916,12240,408349701343557932,13021,820,TRUE
166,https://github.com/all-of-us/workbench,ui-unit-test,all-of-us/workbench,ui-unit-test,#N/A,Skip testing when files on non-master branch are changed; Skip testing when source code are not changed,Skip if certain folder has not changed.,△,,,,,,Skip if certain folder has not changed.,Check branch name with environment variable; Use git diff to find changes in specific directories,"Use Circle CI env var.
Use git diff command.",△,,Check branch name with environment variable; Use git diff to find changes in specific directories,HALT,Remaining steps,0,,Remaining steps,,,Halt if code in 'ui' directories are not changed,https://github.com/all-of-us/workbench,ui-unit-test,all-of-us/workbench,ui-unit-test,,,0.236510121,0.234070912,0.271138783,0.19423035,2685,3549149460577768828,2855,534,TRUE
200,https://github.com/angular/angular,publish_snapshot,angular/angular,publish_snapshot,#N/A,Skip publishing artifacts for PR commits; Skip publishing artifacts when this build is a fork build,Skip if PR,△,,,,x,"May not be accel
previous: Avoid publishing snapshots by outsiders",x,Check PR_number using environment variable;  Check repository name using environment variable;  ,Use Circle CI env var.,0,Checking PR number using env var and repo name,x,HALT,Remaining steps,0,,x,,,Skip this job for Pull Requests and Fork builds,https://github.com/angular/angular,publish_snapshot,angular/angular,publish_snapshot,,,0.286755098,0.282990388,0.453913424,0.178326084,28051,273398784319293286,29839,1367,TRUE
229,https://github.com/angular/angular-cli,e2e-cli-ng-snapshots,angular/angular-cli,e2e-cli-ng-snapshots,#N/A,Skip installing essential software,Skip if Google Chrome is already installed,0,,,,,,Skip if Google Chrome is already installed,Execute software,Bash check if file exists,1,,Bash check if file exists,SKIP,Step,0,,Step,,,,,,,,"if ls /Applications | grep ""Google Chrome"" > /dev/null 2>&1; then",,0.17443759,0.282997432,0.851884843,0.015329515,6194,6345161069978152958,6588,666,FALSE
223,https://github.com/angular/angular-cli,e2e-cli-ng-ve-snapshots,angular/angular-cli,e2e-cli-ng-ve-snapshots,#N/A,Skip installing essential software,Skip if Google Chrome is already installed,0,,,,,,Skip if Google Chrome is already installed,Execute software,Bash check if file exists,1,,Bash check if file exists,SKIP,Step,0,,Step,,,,,,,,"if ls /Applications | grep ""Google Chrome"" > /dev/null 2>&1; then",,0.165244303,0.370776398,0.640215899,0.087004164,3579,11421749480988832528,3806,525,FALSE
146,https://github.com/angular/angular-cli,test-win,angular/angular-cli,test-win,#N/A,Skip tests for PR commits,Skip if not PR,△,,,,Avoid testing if the build is not PR,,Avoid testing if the build is not PR,Check PR_number using environment variable;  Check repository name using environment variable;  ,"Use Circle CI env var.
Check if certain path exists",0,,Check PR_number using environment variable;  Check repository name using environment variable;  ,HALT,Remaining steps,0,,Remaining steps,,,if (Test-Path env:CIRCLE_PR_NUMBER),https://github.com/angular/angular-cli,test-win,angular/angular-cli,test-win,if (Test-Path env:CIRCLE_PR_NUMBER),,0.133586266,0.165285317,0.754904556,0,8010,5433268527193319561,8521,651,FALSE
25,https://github.com/apollographql/apollo-server,Package tarballs,apollographql/apollo-server,Package tarballs,#N/A,Skip tests when the branch is for docments,?,?,,,,x,caching,x,Checking branch name using filter,?,?,,x,,,,,x,"If we include this, we have to find other instances including filters",,,https://github.com/apollographql/apollo-server,Package tarballs,apollographql/apollo-server,Package tarballs,,,0.146796319,0.154982214,0.183481053,0.123121766,6145,15877170218017906044,6536,966,FALSE
266,https://github.com/artsy/eigen,build-and-test,artsy/eigen,build-and-test,#N/A,Run tests if native code has changed,Skip test if no native code has changed,0,,,,,,Skip test if no native code has changed,Check log file,"Using cache and code hash, also check flag file",0,,"Using cache and code hash, also check flag file",SKIP,Step,0,,Step,"	if [ ""$(LOCAL_BRANCH)"" != ""beta"" ] && [ ""$(LOCAL_BRANCH)"" != ""app_store_submission"" ]; then make build-for-tests; else echo ""Skipping test build on beta deploy.""; fi
",,if [ ! -f xcode_test_raw.log ]; then make ci-test; fi,,,,,,,0.243435539,0.224723549,0.94542037,0.02667725,1443,17377463019618753287,1534,169,FALSE
66,https://github.com/artsy/eigen,build-test-app,artsy/eigen,build-test-app,#N/A,Skip tests for specific branches; Skip testing when source code are not changed,Skip if not certain branch,△,,,,,May be accel. Branches are similar,Skip if not certain branch; Skip testing when source code are not changed,Check branch name using environment variable; Find test logs; ,Use Circle CI env var.,△,,Check branch name using environment variable; Find test logs,HALT,Remaining steps,0,,Remaining steps,,,Quit early if possible,https://github.com/artsy/eigen,build-test-app,artsy/eigen,build-test-app,if test $CIRCLE_BRANCH != beta && ls xcode_test_raw.log,,0.238879595,0.223791922,0.368810492,0.09218361,3424,12799987490734786674,3642,496,TRUE
208,https://github.com/artsy/emission,build-and-test,artsy/emission,build-and-test,yes,Skip tests when files in specific directories are not changed,Only build when native files have been changed,0,,,,,,Skip tests when files in specific directories are not changed,Check git diff to find changes,"Intigrates with package manager (yarn)
Check command return value
Check git history",△,,Intigrates with package manager (yarn); Check git history,,step,,,step,https://github.com/artsy/emission/blob/bab77fb2691a52a66c7964041a76278c7aea2e19/scripts/ci-skip-native-if-possible.js,,,https://github.com/artsy/emission,build-and-test,artsy/emission,build-and-test,"yarn ci:skip-native-if-possible
git diff --name-only HEAD $(git merge-base HEAD origin/master)",y,0.317342874,0.28974054,0.648596899,0,3097,18066013163992146131,3293,719,FALSE
119,https://github.com/artsy/force,builder-image-build,artsy/force,builder-image-build,#N/A,x,?,?,,,,x,"error handling, no acceleration",x,x,Check env var.,1,,x,,Step?,,,x,,,halt at last step?,https://github.com/artsy/force,builder-image-build,artsy/force,builder-image-build,"if test -f ""$BASH_ENV""; then",,0.473744465,0.477155643,0.591634498,0.385710901,1294,8253872878231166103,1375,539,TRUE
118,https://github.com/artsy/force,builder-image-push,artsy/force,builder-image-push,#N/A,x,?,?,,,,x,,x,x,Check env var.,1,,x,,Step?,,,x,,,halt at last step?,https://github.com/artsy/force,builder-image-push,artsy/force,builder-image-push,"if test -f ""$BASH_ENV""; then",,0.39216094,0.403305768,0.451952419,0.376780065,1279,8353175448988592220,1359,533,TRUE
202,https://github.com/artsy/force,electron-runner-image-build,artsy/force,electron-runner-image-build,#N/A,x,?,?,,,,x,,x,x,Check env var.,1,,x,,Step?,,,x,they use filter,,halt at last step?,https://github.com/artsy/force,electron-runner-image-build,artsy/force,electron-runner-image-build,"if test -f ""$BASH_ENV""; then",,0.697150678,0.737201662,0.85207301,0.639941003,1242,15354183848172457,1321,508,TRUE
27,https://github.com/artsy/force,electron-runner-image-push,artsy/force,electron-runner-image-push,#N/A,x,?,?,,,,x,,x,x,Check env var.,1,,x,,Step?,,,x,,,halt at last step?,https://github.com/artsy/force,electron-runner-image-push,artsy/force,electron-runner-image-push,"if test -f ""$BASH_ENV""; then",,0.742420034,0.629445207,0.755115209,0.472114898,1216,15803542198405396944,1292,489,TRUE
86,https://github.com/artsy/reaction,yarn/jest,artsy/reaction,yarn/jest,#N/A,Skip deploying for PR commits; Skip deploying when this build is a fork build,x,1,,,,x,error handling,x,Check CIRCLE_PULL_REQUEST using environment variable;  Check PR numbers using environment variable;  ,x,1,,x,HALT,,,,x,,,,https://github.com/artsy/reaction,yarn/jest,artsy/reaction,yarn/jest,,,0.775776619,0.667792708,1.046918186,0.031936439,3988,11427155276507440153,4242,394,TRUE
150,https://github.com/Automattic/wp-calypso,test-e2e-canary,Automattic/wp-calypso,test-e2e-canary,#N/A,x,don't want to run under certain circumstances,1,,,,,,x,x,Check env var.,1,,x,,Remaining steps,,,x,"There is ""Skip Jetpack Tests if needed"" but it is not used",,Skip Jetpack Tests if needed,https://github.com/Automattic/wp-calypso,test-e2e-canary,Automattic/wp-calypso,test-e2e-canary,"if [[ ""$SKIP_JETPACK"" == ""true"" && """" == ""JETPACK"" ]]; then",,0.726854193,0.695114224,0.922433383,0.165093742,10314,5131866882084729026,10971,1743,TRUE
38,https://github.com/Automattic/wp-calypso,test-e2e-canary-ie,Automattic/wp-calypso,test-e2e-canary-ie,#N/A,x,don't want to run under certain circumstances,1,,,,x,"Has acceleration, but not for this job",x,x,Check env var.,1,x,x,,Remaining steps,,,x,"There is ""Skip Jetpack Tests if needed"" but it is not used",,"If the skip jetpack env var is set, notify slack channel and skip the rest of the steps",https://github.com/Automattic/wp-calypso,test-e2e-canary-ie,Automattic/wp-calypso,test-e2e-canary-ie,"if [[ ""$SKIP_JETPACK"" == ""true"" && """" == ""JETPACK"" ]]; then",,0.677316985,0.657749488,0.935784553,0.054993232,24888,14693281681668067823,26475,1665,TRUE
125,https://github.com/Automattic/wp-calypso,test-e2e-canary-safari,Automattic/wp-calypso,test-e2e-canary-safari,#N/A,x,don't want to run under certain circumstances,1,,,,,,x,x,Check env var.,1,,x,,Remaining steps,,,x,,,Skip Jetpack Tests if needed,https://github.com/Automattic/wp-calypso,test-e2e-canary-safari,Automattic/wp-calypso,test-e2e-canary-safari,"if [[ ""$SKIP_JETPACK"" == ""true"" && """" == ""JETPACK"" ]]; then",,0.766462625,0.733674106,0.893004035,0.491358353,30879,7414543242524215376,32849,1825,TRUE
185,https://github.com/Automattic/wp-calypso,test-e2e-canary-woo,Automattic/wp-calypso,test-e2e-canary-woo,#N/A,x,don't want to run under certain circumstances,1,,,,,,x,x,Check env var.,1,,x,,Remaining steps,,,x,"There is ""Skip Jetpack Tests if needed"" but it is not used",,Skip Jetpack Tests if needed,https://github.com/Automattic/wp-calypso,test-e2e-canary-woo,Automattic/wp-calypso,test-e2e-canary-woo,"if [[ ""$SKIP_JETPACK"" == ""true"" && """" == ""JETPACK"" ]]; then",,0.716126937,0.671690078,0.830713275,0.303636903,29709,1777456202588727241,31605,1748,TRUE
281,https://github.com/Automattic/wp-calypso,wp-desktop-linux,Automattic/wp-calypso,wp-desktop-linux,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.25767407,0.272792044,0.692871621,0.139786468,8664,13388228955877424343,9216,2086,FALSE
117,https://github.com/blankenberg/bioconda-recipes,nightly-upload-linux,blankenberg/bioconda-recipes,nightly-upload-linux,#N/A,?,Skip forks,?,,,,Skip fork builds,,Skip fork builds,Check user name using environment variable; Check git diff to find changes,Check Circle CI env var.,0,,Check Circle CI env var.,HALT,Remaining steps,,,Remaining steps,This script is always accelerated,,Check for fork,https://github.com/blankenberg/bioconda-recipes,nightly-upload-linux,blankenberg/bioconda-recipes,nightly-upload-linux,[[ $CIRCLE_PROJECT_USERNAME == bioconda ]] || (,,0.326767473,0.333154361,0.692756638,0.046536627,953,8404046925555151045,1013,31,TRUE
216,https://github.com/cBioPortal/cbioportal,install_yarn,cBioPortal/cbioportal,install_yarn,#N/A,Skipping the build if no important files have changed.,Do not build if the dist folder already exists,1,Do not build if the dist folder already exists,,,,,Do not build if the dist folder already exists,Restoring cache and checking cache,Check if folder exists using bash command,1,Check if folder exists using bash command,Check if folder exists using bash command,SKIP,Step,0,,Step,,,,,,,,ls dist || yarn run build,,0.154072836,0.191009043,0.799468412,0.086795033,1720,10177215584486000161,1829,197,FALSE
204,https://github.com/cBioPortal/cbioportal-frontend,install,cBioPortal/cbioportal-frontend,install,yes,Skip creating cache when cache has been already made,The build target already exists.,1,,,,Skipping the build if no important files have changed.,,Skipping the build if no important files have changed.,Checking files in a directory using ls,"Check command return value.
ls",1,Restoring cache and checking cache,Restoring cache and checking cache,SKIP,step,,,Step,,,Run build if no dist folder,https://github.com/cBioPortal/cbioportal-frontend,install,cBioPortal/cbioportal-frontend,install,ls dist || yarn run build,y,0.195004566,0.25361021,0.930130534,0.110953893,13275,16642383642916821533,14122,754,FALSE
46,https://github.com/circleci/circleci-images,generate_dockerfiles,circleci/circleci-images,generate_dockerfiles,#N/A,x,"Skip forks.
Skip when certain files are not changed.",1,,,,Skipping the build if no important files have changed.,,Skipping the build if no important files have changed.,x,"Check Circle CI env var.
Use git diff command.",1,Use git diff command.,Use git diff command.,,Remaining steps,,,Remaining steps,only proceed if `$PLATFORM` or `shared` or `Makefile` were modified (unless we're on master),,only proceed if `shared` or `Makefile` or any image dirs were modified (unless we're on master),https://github.com/circleci/circleci-images,generate_dockerfiles,circleci/circleci-images,generate_dockerfiles,"if [[ $CIRCLE_PR_REPONAME == ""circleci-images"" ]]; then
if [[ ! $(git diff $COMMIT_RANGE --name-status | grep -e ""shared"" -e ""Makefile"" -f BUNDLES.txt) && ""$CIRCLE_BRANCH"" != ""master"" ]];",,0.653490409,0.626322835,0.918401601,0.336640287,1682,13934261661794895456,1788,148,TRUE
175,https://github.com/circleci/circleci-images,publish_erlang,circleci/circleci-images,publish_erlang,#N/A,"Skip build, test, and publish for PR commits; Skip build, test, and publish when files in specific directories are not changed",Skip when certain files are not changed.,△,,,,,,"Do not skip build, test, and publish for PR commits; Skip build, test, and publish when files in specific directories are not changed",Check repository name using environment variable; Check git diff to find changes,Use git diff command.,△,,Check repository name using environment variable; Check git diff to find changes,,Remaining steps,,,Remaining steps,Is it truely accerelation?,,only proceed if `$PLATFORM` or `shared` or `Makefile` were modified (unless we're on master),https://github.com/circleci/circleci-images,publish_erlang,circleci/circleci-images,publish_erlang,"if [[ ! $(git diff $COMMIT_RANGE --name-status | grep -e ""$PLATFORM"" -e ""shared"" -e ""Makefile"") && ""$CIRCLE_BRANCH"" != ""master"" ]]; then",,0.599084696,0.515944779,0.937651112,0.108176518,956,2767207949725094860,1016,96,TRUE
14,https://github.com/circleci/circleci-images,refresh_tools_cache,circleci/circleci-images,refresh_tools_cache,#N/A,Skip refleshing cashes when the repo is forked,Skip if PR,1,,,,x,error handling,x,Check repository name using environment variable;,Use Circle CI env var.,0,,x,,,,,x,There is halt but it is not used,,"if this is a forked PR, stop this step;",https://github.com/circleci/circleci-images,refresh_tools_cache,circleci/circleci-images,refresh_tools_cache,"if [[ $CIRCLE_PR_REPONAME == ""circleci-images"" ]]; then",,0.668400806,0.613233203,0.847685282,0.46167708,1554,17083416530187878790,1652,134,TRUE
279,https://github.com/citusdata/citus,test-10_check-fol,citusdata/citus,test-10_check-fol,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.256958613,0.327589867,0.783759619,0,2323,10394483936954631453,2470,884,FALSE
65,https://github.com/commaai/panda,build,commaai/panda,build,#N/A,x,x?,0,,,,,,x,x,x,0,,x,,,,,x,,Docker cache?,docker_layer_caching: true,https://github.com/commaai/panda,build,commaai/panda,build,,,0.041463991,0.177232177,0.764782299,0.002540925,2013,12820608827971450885,2140,283,FALSE
186,https://github.com/commaai/panda,language_check,commaai/panda,language_check,#N/A,x,x?,0,,,,,,x,x,x,0,,x,,,,,x,,,docker_layer_caching: true,https://github.com/commaai/panda,language_check,commaai/panda,language_check,,,0.096813045,0.23363788,0.611088613,0.042386841,1298,1683909102700801431,1379,291,FALSE
234,https://github.com/commaai/panda,safety,commaai/panda,safety,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.187586584,0.237964662,0.724157696,0.029967239,1992,15892760037619190363,2118,269,FALSE
226,https://github.com/commaai/panda,safety_replay,commaai/panda,safety_replay,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.173451165,0.198516097,0.550947351,0.020965287,1474,2232215713449275769,1567,269,FALSE
261,https://github.com/cri-o/cri-o,integration-critest,cri-o/cri-o,integration-critest,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,cache,,,,,,,0.238939487,0.433544625,0.924829458,0.217973214,4580,4353401334620493296,4871,504,FALSE
250,https://github.com/demisto/content,build,demisto/content,build,#N/A,Skipping instance tests tasks if running only in container number 0; Skip installing software if it is alread installed,Only run once in parallel tests,△,,,,,,Only run once in parallel tests; Skip installing software if it is alread installed,Check environment variable; Run software,Check Circle CI env var.,△,,Check Circle CI env var.,SKIP; SKIP,Step,0,,Step,,,if [ $CIRCLE_NODE_INDEX -ne 0 ] ;,,,,,,,0.218191602,0.387464382,0.843678179,0,11761,9311812267765567800,12511,1128,FALSE
17,https://github.com/demisto/content,Run Unit Testing And Lint,demisto/content,Run Unit Testing And Lint,yes,Skip testing when specific files are modified,"Only build on nightly build
Only build when deps changed",△,,,,,,Only build on nightly build; Only build when deps changed,Check git diff to find changes,"Check env var.
Use cmd args to control the acceleration",△,,Check git diff to find changes; Check env var.; Use cmd args to control the acceleration,,partial step,,,partial step,,depending on several conditions,SHOULD_LINT_ALL,https://github.com/demisto/content,Run Unit Testing And Lint,demisto/content,Run Unit Testing And Lint,,,0.141679221,0.222626333,0.722938508,0.026328679,14434,16759721075334807645,15353,2899,FALSE
255,https://github.com/demisto/content,Run Validations,demisto/content,Run Validations,#N/A,Skip installing essential software; Skip testing for Packs (Integraions and Scripts),Run different test sets depending on branch and nightly builds.,△,Run different test sets depending on branch and nightly builds.,Tests/scripts/validate.sh,,,,Run different test sets depending on branch and nightly builds.,Execute software; Run testing with regrex (*.py),Check Circle CI env var.,1,Check Circle CI env var.,Check Circle CI env var.,SKIP; Minimize,Partial step,△,Partial step,Partial step,,,,,,,,,,0.227535408,0.328646506,0.833527294,0.077738719,10968,3299013810809264149,11667,2322,FALSE
